,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.67112664798321,0.010171835451034256,65.97891316802327,0.0,0.6511899755095711,0.6910633204568488
C(block)[T.2],0.6947614144690233,0.012942211905007309,53.68181417275527,0.0,0.6693948381931237,0.7201279907449228
C(block)[T.3],1.25573230450917,0.012942270579686325,97.02565687972229,0.0,1.2303656132316205,1.2810989957867194
C(block)[T.4],1.8138414459400505,0.012942213584514304,140.1492437205919,0.0,1.7884748663723378,1.8392080255077632
C(block)[T.5],2.3767330002731657,0.012942185849545314,183.64231729500818,0.0,2.3513664750656513,2.40209952548068
C(block)[T.6],3.0321344170484603,0.012942171966625499,234.2832736937469,0.0,3.006767919051298,3.0575009150456225
C(block)[T.7],3.77504249283675,0.012942169578334491,291.6854450088696,0.0,3.749675999520609,3.8004089861528914
C(block)[T.8],4.747658167995787,0.01294220705139202,366.835281582452,0.0,4.722291601232914,4.7730247347586605
C(block)[T.9],6.116388888123492,0.012942240333291697,472.59119987056096,0.0,6.091022256128504,6.14175552011848
C(block)[T.10],9.475805903050304,0.012942192875738424,732.1638607946999,0.0,9.450439364071539,9.50117244202907
treat,-0.006936552899179036,0.006315338595158674,-1.0983659537267858,0.27204736768396015,-0.019314538931090995,0.0054414331327329235
